residue,class_odd,class_dead,exact_dead,exact_steps,alpha,mod9,mod3
4989,8,1,1,3,0.10011292,3,0
4991,10,1,1,26,0.90101624,5,2
4993,9,1,1,3,0.30033875,7,1
4995,7,1,1,6,0.03337097,0,0
4997,10,1,1,3,0.90101624,2,2
4999,7,1,1,11,0.03337097,4,1
5001,11,0,1,3,2.70304871,6,0
5003,10,1,1,8,0.90101624,8,2
5005,5,1,1,3,0.00370789,1,1
5007,9,1,1,11,0.30033875,3,0
5009,8,1,1,3,0.10011292,5,2
5011,8,1,1,6,0.10011292,7,1
5013,8,1,1,3,0.10011292,0,0
5015,6,1,1,8,0.01112366,2,2
5017,6,1,1,3,0.01112366,4,1
5019,10,1,1,16,0.90101624,6,0
5021,10,1,1,3,0.90101624,8,2
5023,8,1,1,21,0.10011292,1,1
5025,10,1,1,3,0.90101624,3,0
5027,8,1,1,6,0.10011292,5,2
5029,6,1,1,3,0.01112366,7,1
5031,11,0,1,19,2.70304871,0,0
5033,11,0,1,3,2.70304871,2,2
5035,9,1,1,8,0.30033875,4,1
5037,8,1,1,3,0.10011292,6,0
5039,8,1,1,13,0.10011292,8,2
5041,5,1,1,3,0.00370789,1,1
5043,5,1,1,6,0.00370789,3,0
5045,5,1,1,3,0.00370789,5,2
5047,8,1,1,8,0.10011292,7,1
5049,10,1,1,3,0.90101624,0,0
5051,10,1,1,11,0.90101624,2,2
5053,12,0,1,3,8.10914612,4,1
5055,11,0,1,34,2.70304871,6,0
5057,7,1,1,3,0.03337097,8,2
5059,7,1,1,6,0.03337097,1,1
5061,5,1,1,3,0.00370789,3,0
5063,10,1,1,13,0.90101624,5,2
5065,8,1,1,3,0.10011292,7,1
5067,7,1,1,8,0.03337097,0,0
5069,7,1,1,3,0.03337097,2,2
5071,11,0,1,16,2.70304871,4,1
5073,7,1,1,3,0.03337097,6,0
5075,10,1,1,6,0.90101624,8,2
5077,5,1,1,3,0.00370789,1,1
5079,10,1,1,8,0.90101624,3,0
5081,5,1,1,3,0.00370789,5,2
5083,9,1,1,13,0.30033875,7,1
5085,8,1,1,3,0.10011292,0,0
5087,10,1,1,26,0.90101624,2,2
5089,10,1,1,3,0.90101624,4,1
5091,5,1,1,6,0.00370789,6,0
5093,8,1,1,3,0.10011292,8,2
5095,9,1,1,16,0.30033875,1,1
5097,11,0,1,3,2.70304871,3,0
5099,11,0,1,8,2.70304871,5,2
5101,9,1,1,3,0.30033875,7,1
5103,8,1,1,21,0.10011292,0,0
5105,10,1,1,3,0.90101624,2,2
5107,10,1,1,6,0.90101624,4,1
5109,10,1,1,3,0.90101624,6,0
5111,9,1,1,8,0.30033875,8,2
5113,10,1,1,3,0.90101624,1,1
5115,9,1,1,19,0.30033875,3,0
5117,11,0,1,3,2.70304871,5,2
5119,12,0,1,65,8.10914612,7,1
5121,5,1,1,3,0.00370789,0,0
5123,8,1,1,6,0.10011292,2,2
5125,7,1,1,3,0.03337097,4,1
5127,8,1,1,11,0.10011292,6,0
5129,8,1,1,3,0.10011292,8,2
5131,7,1,1,8,0.03337097,1,1
5133,7,1,1,3,0.03337097,3,0
5135,8,1,1,11,0.10011292,5,2
5137,7,1,1,3,0.03337097,7,1
5139,7,1,1,6,0.03337097,0,0
5141,5,1,1,3,0.00370789,2,2
5143,7,1,1,8,0.03337097,4,1
5145,9,1,1,3,0.30033875,6,0
5147,13,0,1,57,24.32743835,8,2
5149,9,1,1,3,0.30033875,1,1
5151,11,0,1,60,2.70304871,3,0
5153,9,1,1,3,0.30033875,5,2
5155,5,1,1,6,0.00370789,7,1
5157,9,1,1,3,0.30033875,0,0
5159,8,1,1,13,0.10011292,2,2
5161,11,0,1,3,2.70304871,4,1
5163,7,1,1,8,0.03337097,6,0
5165,7,1,1,3,0.03337097,8,2
5167,11,0,1,29,2.70304871,1,1
5169,7,1,1,3,0.03337097,3,0
5171,7,1,1,6,0.03337097,5,2
5173,7,1,1,3,0.03337097,7,1
5175,9,1,1,8,0.30033875,0,0
5177,7,1,1,3,0.03337097,2,2
5179,11,0,1,11,2.70304871,4,1
5181,6,1,1,3,0.01112366,6,0
5183,7,1,1,19,0.03337097,8,2
5185,6,1,1,3,0.01112366,1,1
5187,6,1,1,6,0.01112366,3,0
5189,7,1,1,3,0.03337097,5,2
5191,11,0,1,21,2.70304871,7,1
5193,9,1,1,3,0.30033875,0,0
5195,7,1,1,8,0.03337097,2,2
5197,9,1,1,3,0.30033875,4,1
5199,9,1,1,13,0.30033875,6,0
5201,9,1,1,3,0.30033875,8,2
5203,10,1,1,6,0.90101624,1,1
5205,5,1,1,3,0.00370789,3,0
5207,7,1,1,8,0.03337097,5,2
5209,6,1,1,3,0.01112366,7,1
5211,12,0,1,32,8.10914612,0,0
5213,7,1,1,3,0.03337097,2,2
5215,9,1,1,13,0.30033875,4,1
5217,8,1,1,3,0.10011292,6,0
5219,8,1,1,6,0.10011292,8,2
5221,8,1,1,3,0.10011292,1,1
5223,11,0,1,32,2.70304871,3,0
5225,10,1,1,3,0.90101624,5,2
5227,8,1,1,8,0.10011292,7,1
